Sample in Buffer	Sample in Window	trig0/data0[0]	trig0/data0[1]	trig0/data0[2]	trig0/data0[3]	trig0/data0[4]	trig0/data0[5]	trig0/data0[6]	trig0/data0[7]	trig0/data0[8]	trig0/data0[9]	trig0/data0[10]	trig0/data0[11]	trig1/data1[0]	trig2/data2[0]	trig2/data2[1]	trig2/data2[2]	trig2/data2[3]	trig2/data2[4]	trig2/data2[5]	trig2/data2[6]	trig2/data2[7]	trig2/data2[8]	trig2/data2[9]	trig2/data2[10]	trig2/data2[11]	trig3/data3[0]	trig3/data3[1]	trig3/data3[2]	trig3/data3[3]	trig3/data3[4]	trig3/data3[5]	trig3/data3[6]	trig3/data3[7]	trig3/data3[8]	trig3/data3[9]	trig3/data3[10]	trig3/data3[11]	rxd	rx_i	rx_q
74	74	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	-52	19	-43	
75	75	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	-33	19	-43	
76	76	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	-45	-10	-52	
77	77	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	-56	-10	-52	
78	78	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-28	-33	-52	
79	79	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-72	-33	-52	
80	80	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	-11	-56	-45	
81	81	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	-87	-56	-45	
82	82	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	12	-72	-28	
83	83	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	-90	-72	-28	
84	84	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	38	-87	-11	
85	85	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	-89	-87	-11	
86	86	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	62	-90	12	
87	87	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	-78	-90	12	
88	88	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	88	-89	38	
89	89	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	-63	-89	38	
90	90	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	103	-78	62	
91	91	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	-41	-78	62	
92	92	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	111	-63	88	
93	93	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	-21	-63	88	
94	94	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	111	-41	103	
95	95	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	12	-41	103	
96	96	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	107	-21	111	
97	97	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	33	-21	111	
98	98	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	90	12	111	
99	99	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	56	12	111	
100	100	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	68	33	107	
101	101	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	68	33	107	
102	102	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	41	56	90	
103	103	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	72	56	90	
104	104	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	20	68	68	
105	105	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	71	68	68	
106	106	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-9	72	41	
107	107	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	59	72	41	
108	108	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	-30	71	20	
109	109	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	40	71	20	
110	110	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	-43	59	-9	
111	111	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	19	59	-9	
112	112	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	-50	40	-30	
113	113	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	-10	40	-30	
114	114	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	-51	19	-43	
115	115	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	-36	19	-43	
116	116	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	-45	-10	-50	
117	117	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	-56	-10	-50	
118	118	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	-30	-36	-51	
119	119	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	-74	-36	-51	
120	120	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	-11	-56	-45	
121	121	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	-88	-56	-45	
122	122	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	15	-74	-30	
123	123	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	-91	-74	-30	
124	124	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	41	-88	-11	
125	125	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	-88	-88	-11	
126	126	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	67	-91	15	
127	127	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	-77	-91	15	
128	128	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	89	-88	41	
129	129	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	-61	-88	41	
130	130	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	106	-77	67	
131	131	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	-38	-77	67	
132	132	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	113	-61	89	
133	133	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	-13	-61	89	
134	134	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	109	-38	106	
135	135	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	14	-38	106	
136	136	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	105	-13	113	
137	137	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	38	-13	113	
138	138	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	87	14	109	
139	139	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	56	14	109	
140	140	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	62	38	105	
141	141	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	67	38	105	
142	142	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	37	56	87	
143	143	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	73	56	87	
144	144	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	12	67	62	
145	145	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	68	67	62	
146	146	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	-11	73	37	
147	147	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	56	73	37	
